"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2000","-85.9375","38.2480010986328","274","14.001","2.35399999999999","1.426506048","3.28479522238028","0.956002216023465","2.00823804",
"1/2/2000","-85.9375","38.2480010986328","274","14.956","12.044","7.247543544","7.89859211654572","0.90074694813639","1.7424",
"1/3/2000","-85.9375","38.2480010986328","274","16.806","11.912","101.754018","5.73948289061386","0.94424765206308","0.736537752",
"1/4/2000","-85.9375","38.2480010986328","274","14.103","-2.17899999999997","13.27973436","6.33060692036656","0.83217931299098","3.58987968",
"1/5/2000","-85.9375","38.2480010986328","274","1.709","-2.65699999999998","0.1132966656","2.80148745632181","0.648012964950686","10.34498736",
"1/6/2000","-85.9375","38.2480010986328","274","9.07600000000002","-2.52600000000001","0","4.21637878673046","0.650700112968283","10.54119924",
"1/7/2000","-85.9375","38.2480010986328","274","6.05000000000001","-1.85700000000003","0","3.34186055474707","0.774446595787794","10.6920612",
"1/8/2000","-85.9375","38.2480010986328","274","6.94799999999998","-1.54199999999997","0.109863324","2.80966713681723","0.699586576640237","5.04979092",
"1/9/2000","-85.9375","38.2480010986328","274","8.95699999999999","0.721000000000004","1.744079904","2.80848065489907","0.954777836779801","2.50537356",
"1/10/2000","-85.9375","38.2480010986328","274","10.655","6.43400000000003","0.8995055688","7.04779341735715","0.802715467445039","7.3967085",
"1/11/2000","-85.9375","38.2480010986328","274","8.49200000000002","-0.432999999999993","0.123596208","5.75364981898439","0.628891778669724","10.97493948",
"1/12/2000","-85.9375","38.2480010986328","274","12.992","-1.42899999999997","0.209426832","4.12790051224449","0.729365008408163","10.50277896",
"1/13/2000","-85.9375","38.2480010986328","274","14.516","-2.08100000000002","1.69258248","7.21921842761216","0.764743233182973","10.78194024",
"1/14/2000","-85.9375","38.2480010986328","274","2.58300000000003","-4.00400000000002","0","2.37577150769996","0.635103033991027","11.08299096",
"1/15/2000","-85.9375","38.2480010986328","274","10.24","-2.24200000000002","0","6.18815159011293","0.523660773818211","9.5921406",
"1/16/2000","-85.9375","38.2480010986328","274","12.036","0.735000000000014","0.3192901848","6.39192518106659","0.779918861584769","3.0717018",
"1/17/2000","-85.9375","38.2480010986328","274","1.69900000000001","-3.69999999999999","7.18917732","6.00365282471011","0.573540838550228","5.33312064",
"1/18/2000","-85.9375","38.2480010986328","274","3.38900000000001","-3.25900000000001","2.5714868616","3.45751903195187","0.824816427424687","7.44463368",
"1/19/2000","-85.9375","38.2480010986328","274","3.57999999999998","-4.32600000000002","1.1363982624","2.39459801411632","0.75041331126549","4.60411956",
"1/20/2000","-85.9375","38.2480010986328","274","1.63099999999997","-9.32999999999998","0.872039412","6.69588523508779","0.67783372541061","9.80066088",
"1/21/2000","-85.9375","38.2480010986328","274","-3.78899999999999","-14.472","0","3.24975632543626","0.625682898535346","12.24792612",
"1/22/2000","-85.9375","38.2480010986328","274","-1.73700000000002","-9.89800000000002","3.184319844","2.79709932266635","0.833490818300165","3.1564134",
"1/23/2000","-85.9375","38.2480010986328","274","1.62299999999999","-6.02600000000001","0.2832414408","2.17641221586748","0.905687125838211","7.55437608",
"1/24/2000","-85.9375","38.2480010986328","274","-5.08999999999998","-12.993","0.085830696","3.22378383032252","0.848045622688137","12.65158368",
"1/25/2000","-85.9375","38.2480010986328","274","-4.05099999999999","-14.054","0.5493165624","4.17921913545117","0.849785508124791","9.182358",
"1/26/2000","-85.9375","38.2480010986328","274","-4.38400000000001","-9.26499999999999","0.770759568","4.3127501162122","0.871262179225614","8.76650832",
"1/27/2000","-85.9375","38.2480010986328","274","-5.79700000000003","-15.199","0.024032592","2.85886347897827","0.819871951094594","13.24378548",
"1/28/2000","-85.9375","38.2480010986328","274","-3.12299999999999","-11.718","0","4.62368297205188","0.751486290614089","9.63191556",
"1/29/2000","-85.9375","38.2480010986328","274","0.875","-7.41699999999997","6.3686336184","4.42614111246912","0.921377562265304","2.09086686",
"1/30/2000","-85.9375","38.2480010986328","274","0.59699999999998","-5.03500000000003","1.847076588","4.3146794349321","0.89538870319158","7.69876524",
"1/31/2000","-85.9375","38.2480010986328","274","-0.336000000000013","-5.11900000000003","0.64201374","4.98870662725537","0.899152202680773","12.47237172",
"2/1/2000","-85.9375","38.2480010986328","274","0.449000000000012","-5.67200000000003","0.964736424","4.42896855896282","0.911461627403793","12.65411088",
"2/2/2000","-85.9375","38.2480010986328","274","0.446000000000026","-11.387","0.274658328","2.65167388073141","0.906820302893163","13.7009826",
"2/3/2000","-85.9375","38.2480010986328","274","2.73000000000002","-3.791","1.68571458","5.75093709001801","0.959791603907978","4.29732756",
"2/4/2000","-85.9375","38.2480010986328","274","-0.0849999999999795","-2.21499999999998","2.69851716","5.31518699442622","0.91976528379556","6.9161598",
"2/5/2000","-85.9375","38.2480010986328","274","1.036","-4.762","0.631713708","3.73275258489215","0.882998371843529","12.33725778",
"2/6/2000","-85.9375","38.2480010986328","274","5.82999999999998","-4.79300000000001","0","2.45062597386676","0.76308581022321","12.3850683",
"2/7/2000","-85.9375","38.2480010986328","274","10.403","-1.55200000000002","0.168227856","3.92320083757859","0.789687109230389","13.79846412",
"2/8/2000","-85.9375","38.2480010986328","274","6.16000000000003","-0.593000000000018","0.7347108816","2.04342116287557","0.908482975103522","4.27753134",
"2/9/2000","-85.9375","38.2480010986328","274","13.467","0.935999999999979","0.0034332264","4.56911532816107","0.786418539241755","13.98644928",
"2/10/2000","-85.9375","38.2480010986328","274","18.862","6.56900000000002","0.7587431784","6.01356654087928","0.767969901066139","10.27271394",
"2/11/2000","-85.9375","38.2480010986328","274","13.382","0.451000000000022","4.650308928","4.99523288427353","0.859478369345759","5.08483314",
"2/12/2000","-85.9375","38.2480010986328","274","7.35500000000002","-0.771999999999991","0.1922608944","3.74207018531576","0.789080852210109","14.30560458",
"2/13/2000","-85.9375","38.2480010986328","274","11.495","0.853999999999985","13.5990115704","3.3794283401397","0.950914867158164","2.62271268",
"2/14/2000","-85.9375","38.2480010986328","274","7.31400000000002","1.04399999999998","2.341462104","4.38930839932692","0.887993445891297","4.62993102",
"2/15/2000","-85.9375","38.2480010986328","274","9.41899999999998","-2.84699999999998","0.024032592","3.77118508029253","0.758276771831461","13.37360418",
"2/16/2000","-85.9375","38.2480010986328","274","11.027","-1.09100000000001","0.2094268752","4.77335991930319","0.821970667786751","7.84130634",
"2/17/2000","-85.9375","38.2480010986328","274","7.99200000000002","-1.68200000000002","3.872680632","4.65965260662514","0.724458268635445","10.85721228",
"2/18/2000","-85.9375","38.2480010986328","274","15.67","2.09399999999999","74.02386672","7.09771981857353","0.959900058310617","0.411975072",
"2/19/2000","-85.9375","38.2480010986328","274","4.50200000000001","-1.59800000000001","0.810241596","4.41918151097207","0.846999678138476","8.1311058",
"2/20/2000","-85.9375","38.2480010986328","274","7.88900000000001","-2.34100000000001","0","3.56332351549076","0.801704992786825","16.097967",
"2/21/2000","-85.9375","38.2480010986328","274","12.328","-2.93900000000002","0","2.49149473217303","0.669879085776114","16.34124816",
